Tags,plainCocane,Joncrash,marisfredo,MommyGreen,RaguAndSalsa,CatJack0,Pain_Train821,milkerlover,Robur38
stats_minecraft:crafted_minecraft:acacia_slab,0,0,432,0,0,12,0,0,198
stats_minecraft:crafted_minecraft:acacia_stairs,0,0,480,0,0,0,0,0,64
stats_minecraft:crafted_minecraft:acacia_trapdoor,0,0,160,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:acacia_wood,0,0,6,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:air,0,0,0,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:anvil,0,0,5,8,0,1,0,3,1
stats_minecraft:crafted_minecraft:armor_stand,0,0,3,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:arrow,0,0,0,1152,0,0,0,0,0
stats_minecraft:crafted_minecraft:baked_potato,0,0,21,0,0,27,0,0,0
stats_minecraft:crafted_minecraft:barrel,0,0,89,0,0,54,0,0,0
stats_minecraft:crafted_minecraft:beacon,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:beehive,0,1,0,48,0,0,0,0,0
stats_minecraft:crafted_minecraft:beetroot_seeds,0,0,0,0,0,1,0,0,0
stats_minecraft:crafted_minecraft:birch_button,0,0,4,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:birch_door,0,0,6,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:birch_fence,0,0,27,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:birch_planks,0,0,836,136,0,228,0,68,132
stats_minecraft:crafted_minecraft:birch_pressure_plate,0,0,5,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:birch_sign,0,0,0,0,0,3,0,0,0
stats_minecraft:crafted_minecraft:birch_slab,0,0,102,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:birch_stairs,0,0,12,0,0,80,0,0,0
stats_minecraft:crafted_minecraft:birch_trapdoor,0,0,84,0,0,0,0,2,0
stats_minecraft:crafted_minecraft:birch_wood,0,0,12,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:black_banner,0,0,1,0,0,0,0,3,26
stats_minecraft:crafted_minecraft:black_bed,0,0,0,0,0,0,0,0,1
stats_minecraft:crafted_minecraft:black_carpet,0,0,6,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:black_concrete_powder,0,0,56,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:black_dye,0,0,51,1,1,9,0,30,354
stats_minecraft:crafted_minecraft:black_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:black_stained_glass,0,0,0,0,0,0,0,32,2784
stats_minecraft:crafted_minecraft:black_stained_glass_pane,0,0,0,0,0,0,0,16,592
stats_minecraft:crafted_minecraft:black_wool,0,0,0,0,0,0,0,12,0
stats_minecraft:crafted_minecraft:blackstone_slab,0,0,0,252,0,0,0,0,0
stats_minecraft:crafted_minecraft:blackstone_wall,0,0,0,126,0,0,0,0,0
stats_minecraft:crafted_minecraft:blast_furnace,0,0,2,1,0,1,0,0,0
stats_minecraft:crafted_minecraft:blaze_powder,0,0,0,2676,14,0,0,12,158
stats_minecraft:crafted_minecraft:blue_bed,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:blue_concrete_powder,0,0,0,0,0,0,0,0,512
stats_minecraft:crafted_minecraft:blue_dye,1,0,22,4,0,1,0,2,95
stats_minecraft:crafted_minecraft:blue_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:blue_stained_glass,0,0,0,0,0,0,0,0,64
stats_minecraft:crafted_minecraft:bone_meal,0,48,366,381,0,243,0,426,288
stats_minecraft:crafted_minecraft:book,0,0,335,280,0,128,0,43,0
stats_minecraft:crafted_minecraft:bookshelf,0,0,192,36,0,30,0,7,0
stats_minecraft:crafted_minecraft:bow,0,0,0,100,0,1,0,3,5
stats_minecraft:crafted_minecraft:bread,0,0,50,231,150,788,0,0,408
stats_minecraft:crafted_minecraft:brewing_stand,0,0,0,8,0,0,0,0,13
stats_minecraft:crafted_minecraft:brick,0,64,204,0,0,2477,0,0,12
stats_minecraft:crafted_minecraft:brick_slab,0,0,0,0,0,1194,0,0,0
stats_minecraft:crafted_minecraft:bricks,0,0,0,0,0,601,0,0,96
stats_minecraft:crafted_minecraft:brown_carpet,0,0,12,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:brown_dye,0,0,0,0,0,0,0,0,4
stats_minecraft:crafted_minecraft:brown_terracotta,0,0,0,0,0,0,0,0,32
stats_minecraft:crafted_minecraft:bucket,0,2,17,30,0,7,0,3,40
stats_minecraft:crafted_minecraft:cake,0,0,19,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:campfire,0,0,6,29,0,13,0,0,0
stats_minecraft:crafted_minecraft:cartography_table,0,0,2,1,0,2,0,0,1
stats_minecraft:crafted_minecraft:cauldron,0,0,15,0,0,1,0,0,1
stats_minecraft:crafted_minecraft:chain,0,0,65,0,0,0,0,0,9
stats_minecraft:crafted_minecraft:charcoal,0,0,0,31,0,76,0,0,0
stats_minecraft:crafted_minecraft:chest,2,0,95,1120,3,213,0,17,87
stats_minecraft:crafted_minecraft:chiseled_deepslate,0,0,43,6,0,0,0,0,0
stats_minecraft:crafted_minecraft:chiseled_quartz_block,0,0,0,0,0,0,0,13,0
stats_minecraft:crafted_minecraft:chiseled_sandstone,0,0,0,0,0,14,0,0,0
stats_minecraft:crafted_minecraft:chiseled_stone_bricks,0,0,11,0,0,0,0,0,20
stats_minecraft:crafted_minecraft:coal,0,0,0,36,0,0,0,0,0
stats_minecraft:crafted_minecraft:coal_block,0,0,0,215,0,0,0,0,0
stats_minecraft:crafted_minecraft:coarse_dirt,0,0,0,0,0,64,0,0,0
stats_minecraft:crafted_minecraft:cobbled_deepslate_slab,0,0,732,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:cobbled_deepslate_stairs,0,0,412,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:cobbled_deepslate_wall,0,0,78,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:cobblestone_slab,0,2,0,30,0,0,0,0,0
stats_minecraft:crafted_minecraft:cobblestone_stairs,0,0,0,4,0,0,0,0,0
stats_minecraft:crafted_minecraft:cobblestone_wall,0,0,60,0,0,0,0,0,18
stats_minecraft:crafted_minecraft:comparator,0,0,0,56,0,0,0,4,35
stats_minecraft:crafted_minecraft:compass,0,0,0,12,0,9,0,0,1
stats_minecraft:crafted_minecraft:composter,0,0,121,25,0,16,0,0,1
stats_minecraft:crafted_minecraft:cooked_beef,8,9,229,262,0,98,1,22,15
stats_minecraft:crafted_minecraft:cooked_chicken,1,26,41,3,0,0,0,0,0
stats_minecraft:crafted_minecraft:cooked_cod,0,0,0,0,0,0,0,0,15
stats_minecraft:crafted_minecraft:cooked_mutton,0,7,194,52,7,0,0,0,0
stats_minecraft:crafted_minecraft:cooked_porkchop,0,10,279,67,17,21,0,23,20
stats_minecraft:crafted_minecraft:cooked_rabbit,0,1,0,2,0,2,0,0,0
stats_minecraft:crafted_minecraft:cooked_salmon,0,60,49,1,0,0,0,4,12
stats_minecraft:crafted_minecraft:cookie,0,0,32,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:copper_block,0,0,48,87,0,6,0,0,0
stats_minecraft:crafted_minecraft:copper_ingot,3,38,640,98,0,58,0,14,118
stats_minecraft:crafted_minecraft:crafting_table,1,8,21,34,1,28,0,5,34
stats_minecraft:crafted_minecraft:crimson_planks,0,0,0,28,0,0,0,0,0
stats_minecraft:crafted_minecraft:crimson_trapdoor,0,0,0,2,0,0,0,0,0
stats_minecraft:crafted_minecraft:crossbow,0,0,0,0,0,0,0,0,3
stats_minecraft:crafted_minecraft:cut_copper,0,0,44,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:cut_copper_slab,0,0,6,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:cut_sandstone,0,0,4,0,0,800,0,0,0
stats_minecraft:crafted_minecraft:cut_sandstone_slab,0,0,0,0,0,80,0,0,0
stats_minecraft:crafted_minecraft:cyan_bed,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:cyan_dye,0,0,0,4,0,0,0,4,2
stats_minecraft:crafted_minecraft:cyan_shulker_box,0,0,0,1,0,0,0,1,0
stats_minecraft:crafted_minecraft:dark_oak_button,0,0,27,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dark_oak_door,0,0,6,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dark_oak_fence,0,0,378,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dark_oak_fence_gate,0,0,67,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dark_oak_planks,0,24,3696,4,0,56,0,4,0
stats_minecraft:crafted_minecraft:dark_oak_sign,0,0,78,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dark_oak_slab,0,0,1044,0,0,0,0,6,0
stats_minecraft:crafted_minecraft:dark_oak_stairs,0,0,292,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dark_oak_trapdoor,0,0,230,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dark_oak_wood,0,0,15,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:daylight_detector,0,0,0,1,0,0,0,0,2
stats_minecraft:crafted_minecraft:deepslate_bricks,0,0,0,12,0,0,0,0,64
stats_minecraft:crafted_minecraft:deepslate_tiles,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:detector_rail,0,0,0,0,0,0,0,0,6
stats_minecraft:crafted_minecraft:diamond_axe,0,0,2,2,0,1,0,2,0
stats_minecraft:crafted_minecraft:diamond_boots,1,0,0,5,0,1,0,1,0
stats_minecraft:crafted_minecraft:diamond_chestplate,1,0,0,1,0,1,0,1,0
stats_minecraft:crafted_minecraft:diamond_helmet,0,0,3,4,0,1,0,1,0
stats_minecraft:crafted_minecraft:diamond_hoe,0,0,0,1,0,0,0,0,1
stats_minecraft:crafted_minecraft:diamond_leggings,0,0,0,3,0,1,0,1,0
stats_minecraft:crafted_minecraft:diamond_pickaxe,1,1,1,3,0,1,0,1,3
stats_minecraft:crafted_minecraft:diamond_shovel,0,0,0,3,0,1,0,1,3
stats_minecraft:crafted_minecraft:diamond_sword,2,0,0,10,0,1,1,1,0
stats_minecraft:crafted_minecraft:diorite_stairs,0,4,0,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dispenser,0,0,0,61,0,0,0,0,0
stats_minecraft:crafted_minecraft:dried_kelp,0,5,0,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:dropper,0,0,0,19,0,0,0,1,64
stats_minecraft:crafted_minecraft:emerald,0,0,0,173,6,230,0,0,0
stats_minecraft:crafted_minecraft:emerald_block,0,0,0,0,0,0,0,81,0
stats_minecraft:crafted_minecraft:enchanted_book,0,0,6,48,0,9,0,9,0
stats_minecraft:crafted_minecraft:enchanting_table,0,0,5,2,0,1,0,0,0
stats_minecraft:crafted_minecraft:ender_chest,0,0,0,48,0,0,0,3,0
stats_minecraft:crafted_minecraft:ender_eye,0,0,0,57,0,0,0,11,0
stats_minecraft:crafted_minecraft:fermented_spider_eye,0,0,0,0,0,0,0,1,9
stats_minecraft:crafted_minecraft:firework_rocket,0,0,0,4331,0,0,0,96,0
stats_minecraft:crafted_minecraft:fishing_rod,0,0,0,0,0,1,0,0,3
stats_minecraft:crafted_minecraft:fletching_table,0,0,1,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:flint_and_steel,0,0,0,5,0,2,0,1,2
stats_minecraft:crafted_minecraft:flower_banner_pattern,0,0,0,0,0,0,0,1,1
stats_minecraft:crafted_minecraft:flower_pot,0,0,32,0,0,0,0,0,4
stats_minecraft:crafted_minecraft:furnace,0,3,64,71,0,9,0,1,13
stats_minecraft:crafted_minecraft:glass,0,0,764,454,0,217,0,0,0
stats_minecraft:crafted_minecraft:glass_bottle,0,0,3,11132,0,0,0,0,333
stats_minecraft:crafted_minecraft:glass_pane,0,0,32,0,0,128,0,0,0
stats_minecraft:crafted_minecraft:glistering_melon_slice,0,0,0,0,0,0,0,0,36
stats_minecraft:crafted_minecraft:glow_item_frame,0,0,0,2,0,0,0,0,0
stats_minecraft:crafted_minecraft:glowstone,0,0,0,26,0,0,0,0,0
stats_minecraft:crafted_minecraft:gold_block,0,0,2,454,0,1,0,179,3
stats_minecraft:crafted_minecraft:gold_ingot,0,0,128,6624,0,22,0,1366,177
stats_minecraft:crafted_minecraft:gold_nugget,0,0,0,22379,0,0,0,0,99
stats_minecraft:crafted_minecraft:golden_apple,0,0,2,0,0,0,0,0,1
stats_minecraft:crafted_minecraft:golden_boots,1,0,3,0,0,0,0,0,1
stats_minecraft:crafted_minecraft:golden_carrot,0,0,0,2928,0,0,0,0,2
stats_minecraft:crafted_minecraft:golden_chestplate,0,0,3,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:golden_helmet,0,0,2,1,0,0,0,1,2
stats_minecraft:crafted_minecraft:golden_leggings,0,0,2,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:gray_banner,0,0,1,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:gray_bed,0,0,0,2,0,0,0,0,0
stats_minecraft:crafted_minecraft:gray_carpet,0,0,30,3,0,0,0,0,0
stats_minecraft:crafted_minecraft:gray_dye,0,0,4,0,0,0,0,0,2
stats_minecraft:crafted_minecraft:gray_shulker_box,0,0,0,1,0,0,0,0,1
stats_minecraft:crafted_minecraft:green_dye,0,5,0,0,0,0,0,0,21
stats_minecraft:crafted_minecraft:green_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:green_stained_glass,0,0,0,0,0,0,0,0,64
stats_minecraft:crafted_minecraft:grindstone,0,1,0,5,0,1,0,1,0
stats_minecraft:crafted_minecraft:hay_block,0,0,13,45,15,21,0,0,0
stats_minecraft:crafted_minecraft:heavy_weighted_pressure_plate,0,0,1,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:honey_block,0,0,0,91,0,0,0,0,0
stats_minecraft:crafted_minecraft:hopper,0,0,5,366,0,4,0,10,96
stats_minecraft:crafted_minecraft:hopper_minecart,0,0,0,58,0,0,0,4,10
stats_minecraft:crafted_minecraft:iron_axe,2,1,61,14,1,16,0,0,0
stats_minecraft:crafted_minecraft:iron_bars,0,0,96,0,0,0,0,32,0
stats_minecraft:crafted_minecraft:iron_block,1,1,18,2219,0,3,0,20,0
stats_minecraft:crafted_minecraft:iron_boots,1,1,4,1,2,2,3,1,1
stats_minecraft:crafted_minecraft:iron_chestplate,1,0,4,0,12,2,3,1,1
stats_minecraft:crafted_minecraft:iron_door,0,0,0,18,0,0,0,0,0
stats_minecraft:crafted_minecraft:iron_helmet,1,1,4,1,1,2,3,1,1
stats_minecraft:crafted_minecraft:iron_hoe,3,0,3,6,0,3,0,0,0
stats_minecraft:crafted_minecraft:iron_ingot,34,107,1205,1862,269,409,207,192,348
stats_minecraft:crafted_minecraft:iron_leggings,1,1,3,1,3,2,3,1,1
stats_minecraft:crafted_minecraft:iron_nugget,0,0,1611,520,0,369,0,450,162
stats_minecraft:crafted_minecraft:iron_pickaxe,6,12,62,16,2,39,2,4,4
stats_minecraft:crafted_minecraft:iron_shovel,1,1,33,3,1,85,0,0,3
stats_minecraft:crafted_minecraft:iron_sword,2,6,8,5,2,3,0,0,4
stats_minecraft:crafted_minecraft:iron_trapdoor,0,0,3,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:item_frame,0,0,21,56,0,41,0,0,18
stats_minecraft:crafted_minecraft:jack_o_lantern,0,0,20,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:jukebox,0,1,0,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:jungle_boat,0,0,0,0,0,0,0,0,8
stats_minecraft:crafted_minecraft:jungle_button,0,0,32,0,0,0,0,0,68
stats_minecraft:crafted_minecraft:jungle_door,0,0,6,0,0,15,0,0,0
stats_minecraft:crafted_minecraft:jungle_fence,0,0,6,0,0,132,0,0,75
stats_minecraft:crafted_minecraft:jungle_fence_gate,0,0,0,0,0,23,0,0,0
stats_minecraft:crafted_minecraft:jungle_planks,0,0,1424,0,0,744,0,0,676
stats_minecraft:crafted_minecraft:jungle_pressure_plate,0,0,11,0,0,2,0,0,0
stats_minecraft:crafted_minecraft:jungle_sign,0,0,0,0,0,3,0,0,6
stats_minecraft:crafted_minecraft:jungle_slab,0,0,276,0,0,108,0,0,198
stats_minecraft:crafted_minecraft:jungle_stairs,0,0,104,0,0,16,0,0,0
stats_minecraft:crafted_minecraft:jungle_trapdoor,0,0,132,0,0,12,0,0,0
stats_minecraft:crafted_minecraft:jungle_wood,0,0,9,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:ladder,0,0,9,84,0,60,0,60,456
stats_minecraft:crafted_minecraft:lantern,0,0,163,83,0,47,0,59,18
stats_minecraft:crafted_minecraft:lapis_block,0,0,0,151,0,0,0,0,0
stats_minecraft:crafted_minecraft:lapis_lazuli,176,0,0,931,0,0,0,288,0
stats_minecraft:crafted_minecraft:leather,0,0,0,0,0,21,0,0,0
stats_minecraft:crafted_minecraft:leather_helmet,0,0,0,0,3,0,0,0,0
stats_minecraft:crafted_minecraft:leather_horse_armor,0,1,0,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:lectern,0,0,57,1,0,13,0,0,0
stats_minecraft:crafted_minecraft:lever,0,0,10,10,0,0,0,0,8
stats_minecraft:crafted_minecraft:light_blue_dye,0,0,0,18,0,0,0,0,0
stats_minecraft:crafted_minecraft:light_blue_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:light_blue_stained_glass,0,0,0,64,0,0,0,0,0
stats_minecraft:crafted_minecraft:light_gray_banner,0,0,2,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:light_gray_bed,0,0,1,3,0,0,0,0,0
stats_minecraft:crafted_minecraft:light_gray_carpet,0,0,12,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:light_gray_dye,0,0,40,7,0,18,0,0,1
stats_minecraft:crafted_minecraft:light_gray_shulker_box,0,0,0,1,0,0,0,0,1
stats_minecraft:crafted_minecraft:light_gray_stained_glass_pane,0,0,0,0,0,112,0,0,0
stats_minecraft:crafted_minecraft:lightning_rod,0,0,1,15,0,0,0,4,0
stats_minecraft:crafted_minecraft:lime_dye,0,0,0,2,0,0,0,0,0
stats_minecraft:crafted_minecraft:lime_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:loom,0,0,20,0,0,2,0,1,1
stats_minecraft:crafted_minecraft:magenta_dye,0,0,0,0,0,0,0,0,24
stats_minecraft:crafted_minecraft:magenta_stained_glass,0,0,0,0,0,0,0,0,64
stats_minecraft:crafted_minecraft:magma_block,0,0,0,636,0,0,0,0,0
stats_minecraft:crafted_minecraft:magma_cream,0,0,0,2612,0,0,0,0,32
stats_minecraft:crafted_minecraft:map,0,0,0,3,0,7,0,0,1
stats_minecraft:crafted_minecraft:melon,0,0,0,0,0,2,0,0,0
stats_minecraft:crafted_minecraft:melon_seeds,0,0,0,0,0,7,0,0,6
stats_minecraft:crafted_minecraft:minecart,0,0,0,35,0,0,0,3,3
stats_minecraft:crafted_minecraft:mossy_cobblestone_stairs,0,0,4,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:mossy_cobblestone_wall,0,0,12,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:mossy_stone_bricks,0,0,5,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:name_tag,0,0,0,38,0,0,0,0,0
stats_minecraft:crafted_minecraft:nautilus_shell,0,0,0,0,0,0,0,0,5
stats_minecraft:crafted_minecraft:nether_brick_wall,0,0,0,0,0,0,0,0,2
stats_minecraft:crafted_minecraft:nether_bricks,0,0,0,41,0,0,0,258,5982
stats_minecraft:crafted_minecraft:nether_wart_block,0,0,0,0,5,0,0,0,0
stats_minecraft:crafted_minecraft:netherite_axe,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:netherite_boots,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:netherite_chestplate,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:netherite_helmet,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:netherite_ingot,0,0,0,8,0,0,0,7,2
stats_minecraft:crafted_minecraft:netherite_pickaxe,0,0,0,2,0,0,0,0,1
stats_minecraft:crafted_minecraft:netherite_scrap,0,0,0,32,0,0,0,28,3
stats_minecraft:crafted_minecraft:netherite_shovel,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:netherite_sword,0,0,0,1,0,0,0,0,1
stats_minecraft:crafted_minecraft:note_block,0,0,63,32,0,0,0,0,2
stats_minecraft:crafted_minecraft:oak_boat,0,2,0,2,0,4,0,0,6
stats_minecraft:crafted_minecraft:oak_button,0,0,7,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:oak_door,0,2,0,3,0,0,0,3,6
stats_minecraft:crafted_minecraft:oak_fence,18,0,57,36,0,15,0,3,9
stats_minecraft:crafted_minecraft:oak_fence_gate,0,0,17,0,0,5,0,0,3
stats_minecraft:crafted_minecraft:oak_planks,82,72,2548,800,64,736,4,132,1460
stats_minecraft:crafted_minecraft:oak_sign,0,0,6,6,0,3,0,3,45
stats_minecraft:crafted_minecraft:oak_slab,12,0,624,216,0,84,0,0,72
stats_minecraft:crafted_minecraft:oak_stairs,0,0,224,4,0,4,0,0,80
stats_minecraft:crafted_minecraft:oak_trapdoor,0,0,52,6,0,2,0,0,4
stats_minecraft:crafted_minecraft:oak_wood,0,0,6,0,0,48,0,0,0
stats_minecraft:crafted_minecraft:observer,0,0,0,98,0,0,0,0,66
stats_minecraft:crafted_minecraft:orange_dye,0,0,0,22,0,0,0,0,0
stats_minecraft:crafted_minecraft:orange_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:orange_stained_glass,0,0,0,64,0,0,0,0,0
stats_minecraft:crafted_minecraft:painting,0,0,5,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:paper,66,0,897,3327,6,3921,0,222,6
stats_minecraft:crafted_minecraft:pink_dye,0,2,0,2,0,0,0,0,0
stats_minecraft:crafted_minecraft:pink_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:piston,0,0,3,50,0,0,0,0,36
stats_minecraft:crafted_minecraft:polished_andesite,0,54,875,0,0,6,0,0,256
stats_minecraft:crafted_minecraft:polished_andesite_slab,0,228,350,0,0,0,0,0,18
stats_minecraft:crafted_minecraft:polished_andesite_stairs,0,10,150,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:polished_basalt,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:polished_deepslate,0,0,4,1,0,0,0,10787,64
stats_minecraft:crafted_minecraft:polished_deepslate_slab,0,0,6,0,0,0,0,200,0
stats_minecraft:crafted_minecraft:polished_deepslate_stairs,0,0,0,0,0,0,0,101,0
stats_minecraft:crafted_minecraft:polished_deepslate_wall,0,0,0,0,0,0,0,32,0
stats_minecraft:crafted_minecraft:polished_diorite,0,0,0,0,0,0,0,0,1700
stats_minecraft:crafted_minecraft:polished_diorite_stairs,0,0,4,6,0,0,0,0,0
stats_minecraft:crafted_minecraft:polished_granite,0,0,0,0,0,0,0,0,908
stats_minecraft:crafted_minecraft:polished_granite_slab,0,0,0,0,0,0,0,0,68
stats_minecraft:crafted_minecraft:polished_granite_stairs,0,0,0,8,0,0,0,0,40
stats_minecraft:crafted_minecraft:powered_rail,0,0,0,1118,0,0,0,0,30
stats_minecraft:crafted_minecraft:pumpkin_pie,0,0,40,0,0,88,0,0,0
stats_minecraft:crafted_minecraft:pumpkin_seeds,0,0,0,0,0,16,0,0,0
stats_minecraft:crafted_minecraft:purple_bed,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:purple_carpet,0,0,0,0,0,3,0,0,0
stats_minecraft:crafted_minecraft:purple_dye,0,0,0,2,0,2,0,0,8
stats_minecraft:crafted_minecraft:purple_shulker_box,0,0,0,1,0,0,0,0,0
stats_minecraft:crafted_minecraft:purple_stained_glass,0,0,0,0,0,0,0,0,64
stats_minecraft:crafted_minecraft:purple_wool,0,0,0,0,0,2,0,0,0
stats_minecraft:crafted_minecraft:quartz_block,0,0,117,0,0,0,0,337,0
